ID,2020 Food Sales,2020 FS Adjust,2021 Food Sales,2021 FS Adjust,2020 Total Sales,2020 TS Adjust,2021 Total Sales,2021 TS Adjust,2020 FS divided by TS,2021 FS divided by TS,BrandLogos,Comments,Company GHG Name,Company Foreign,DateEndFinancial2020,DateEndFinancial2021,DateEnd10k,DateEndGhg,Exclusions,ExclusionsText,GhgPermaLink,GhgReportArea,GhgReportName,GhgReportNotes,GhgReportUrl,LogoDownCo,NameChangeToParent,Parent,Public,Rank,RankIndustry,RankRevenues,RealZero,RevenuesArea,RevenuesGhgCo,S&P500,SasbIndustry,SasbIndustryShort,Scope1Emit,Scope2EmitLocation,Scope2EmitMarket,Scope2EmitUndifferentiated,Scope2Total,Scope1+2Reported,Scope1+2Total,Scope1+2Undiff,Scope1+2/Revenues,Subsidiary,Website,YearGhgData,YearRevenuesData,brands
27,5259,,5749,,5699,,6227,,0.922793473,0.923237514,y,,"Post Holdings, Inc.",no,9/30/2020,9/30/2021,9/30/2021,9/30/2023,no,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,yes,,,,,,6227,,Processed Foods,,339000,,,282000,282000,yes,621000,,99.72699534,,www.postholdings.com#http://www.postholdings.com#,2023,,47
28,5791,,5731,,5791,,5731,,1,1,y,Revenue is for named company; no emissions data for either entity,Agropur Dairy Cooperative,no,10/31/2020,10/31/2021,,,,,,,_no report as of 12/14/2022,no 2020 data,,yes,no,Farmers Co-operative Dairy Limited,no,,,,,,8200,,"Meat, Poultry & Dairy",,,,,,,yes,446281,,54.4245122,,agropur.com#http://agropur.com#,2023,,19
29,5012,,5434,,17800,,19300,,0.281573034,0.281554404,y,,"Dairy Farmers of America, Inc.",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,no,,,,,,19300,,"Meat, Poultry & Dairy",,,,,,,,,,,,www.dfamilk.com#http://www.dfamilk.com#,,,17
30,3564,,4800,,3564,,4800,,1,1,y,Revenue and Emissions are for named company,"Sanderson Farms, Inc.",no,12/31/2020,12/31/2021,,10/31/2021,no,,,,CR Report,2020 data only as of 11/25/2022,,yes,no,"Cargill, Incorporated; Wayne Farms, LLC",no,,,,,,4800,,"Meat, Poultry & Dairy",,245477,,,231612,231612,yes,477089,,99.39354167,,www.sandersonfarms.com#http://www.sandersonfarms.com#,2020,,1
31,4700,estimated,4700,estimated,8000,,8000,estimated,0.5875,0.5875,y,,Perdue Farms Inc.,no,4/30/2021,4/30/2022,,,,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,no,,,,,,8000,,"Meat, Poultry & Dairy",,,,,,,,,,,,www.perduefarms.com#http://www.perduefarms.com#,,,15
32,4600,estimated,4600,,5000,,5000,,0.92,0.92,y,,Golden State Foods Corporation,no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,no,,,,,,5000,,Processed Foods,,,,,,,,,,,,www.goldenstatefoods.com#http://www.goldenstatefoods.com#,,,1
33,3983,,4552,,14000,,16000,,0.2845,0.2845,y,,"Land O'Lakes, Inc.",no,12/31/2020,12/31/2021,,12/31/2023,no,,,,CI Report,,,yes,,_none,no,,,,,,16000,,"Meat, Poultry & Dairy",,288583,,,174029,174029,yes,462612,,28.91325,,www.landolakesinc.com#http://www.landolakesinc.com#,2023,,4
34,4308,estimated,4412,,8615,,8821,,0.500058038,0.500170049,y,,Constellation Brands,no,2/28/2021,2/28/2022,2/28/2022,8/1/2022,no,,,,ESG Impact Report,2020 data only as of 11/21/2022,,yes,,_none,yes,,,,,,8821,yes,Alcoholic Beverages,,311104,78269,69949,,69949,yes,381053,,43.19839021,,www.cbrands.com#http://www.cbrands.com#,2022,,49
35,4388,,4331,,4388,,4331,,1,1,y,,"Flowers Foods, Inc.",no,12/31/2020,12/31/2021,1/1/2022,12/31/2022,no,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,yes,,,,,,4331,,Processed Foods,,166863,,,146563,146563,yes,313426,,72.36804433,,www.flowersfoods.com#http://www.flowersfoods.com#,2023,,18
36,4350,,4328,,4350,,4328,,1,1,y,,TreeHouse Foods Inc.,no,12/31/2020,12/31/2021,12/31/2021,12/31/2022,no,,,,CDP Report,,,yes,,_none,yes,,,,,,3297,,Processed Foods,,178380,148049,,,148049,yes,326429,,99.00788596,,www.treehousefoods.com#http://www.treehousefoods.com#,2022,,23
37,4370,estimated,4244,estimated,63302,,59388,,0.069034154,0.071462248,y,"Labeled ""U.S."" in Processed Foods table but revenue numbers are for parent ""Unilever PLC""",Unilever PLC,yes,12/31/2020,12/31/2021,,12/31/2023,no,,,,Annual Report,,,yes,,_none,yes,,,,,,59388,,Household & Personal Products,,620000,,,110000,110000,yes,730000,,12.29204553,,www.unilever.com#http://www.unilever.com#,2023,,19
38,4100,estimated,4200,estimated,5100,estimated,5200,estimated,0.803921569,0.807692308,y,,"E. & J. Gallo Winery, Inc.",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,no,,,,,,5200,,Alcoholic Beverages,,,,,,,,,,,,www.gallo.com#http://www.gallo.com#,,,57
39,3400,,3600,,3400,,3600,,1,1,y,,"Prairie Farms Dairy, Inc.",no,9/30/2020,9/30/2021,,,,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,no,,,,,,3600,,"Meat, Poultry & Dairy",,,,,,,,,,,,www.prairiefarms.com#http://www.prairiefarms.com#,,,14
40,2961,,3560,,3538,,3560,,0.83691351,1,y,,Maple Leaf Foods Inc.,yes,12/31/2020,12/31/2021,,12/31/2023,no,"Natural gas consumption at our corporate offices, innovation centers, and global sales offices are excluded as it represents 0.1% of Scope 1",,,Assurance Report,,,yes,,_none,yes,,,,,,3560,,"Meat, Poultry & Dairy",,263057,32825,9898,,9898,yes,272955,,76.67275281,,www.mapleleaffoods.com#http://www.mapleleaffoods.com#,2023,,17
41,3200,estimated,3500,estimated,3200,estimated,3500,estimated,1,1,y,,"Koch Foods, Inc.",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,no,,,,,,3500,,"Meat, Poultry & Dairy",,,,,,,,,,,,www.kochfoods.com#http://www.kochfoods.com#,,,2
42,3300,estimated,3400,estimated,3300,estimated,3400,estimated,1,1,y,,"Great Lakes Cheese Company, Inc.",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,no,,,,,,3400,,Processed Foods,,,,,,,,,,,,www.greatlakescheese.com#http://www.greatlakescheese.com#,,,5
43,3069,,3308,,20418,,20672,,0.150308551,0.16002322,y,Revenue is for parent; Emissions is for parent,Suntory Holdings Limited,yes,12/31/2020,12/31/2021,,12/31/2022,yes,"No documentation(GHG emissions from small offices in countries other than Japan
Japan are excluded",,,2022 Suntory Group CSR,,,yes,yes,Suntory Holdings Limited,no,,,,,,20200,,Alcoholic Beverages,,594000,,,248000,248000,yes,843000,843000,41.73267327,Beam Suntory Inc. (U.S.),"www.beamsuntory.com#http://	www.beamsuntory.com#",2022,,13
44,3426,,3158,,4042,,3158,,0.847600198,1,y,Revenue is for parent; Emissions is for parent,Grupo Lala,yes,12/31/2020,12/31/2021,,12/31/2022,no,,,,Sustainability Report,2020 data only as of 11/23/2022,,yes,yes,"Grupo Lala, S.A.B. de C.V.",yes,,,,,,3158,,"Meat, Poultry & Dairy",,276658,,,308747,308747,yes,585405,,185.3720709,LaLa Foods U.S.,#https://www.lala-us.com/#,2022,,5
45,2883,pet food,3111,,16471,,17421,,0.17503491,0.178577579,y,,Colgate-Palmolive Co.,no,12/31/2020,12/31/2021,12/31/2021,12/31/2022,no,,,,CDP Report,,,yes,,_none,yes,,,,,,17421,,Household & Personal Products,,195700,369000,225400,,225400,yes,421100,,24.17197635,,www.colgatepalmolive.com#http://www.colgatepalmolive.com#,2022,,19
46,3100,estimated,3100,estimated,4100,,4100,estimated,0.756097561,0.756097561,y,,California Dairies Inc.,no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/21/2022,no 2020 data,,yes,,_none,no,,,,,,4100,,"Meat, Poultry & Dairy",,,,,,,,,,,,"www.californiadairies.com#http://	www.californiadairies.com#",,,3
47,3100,estimated,3100,estimated,8000,adjusted,8000,,0.3875,0.3875,y,,McCain Foods USA,no,6/30/2020,6/30/2021,,6/30/2023,yes,excluding our transportation subsidiary the Day & Ross Transportation Group (“Day & Ross”) and acquisitions that we have completed within the last 24 months.,,,Sustainability Report,,,yes,,_none,no,,,,,,8000,,Processed Foods,,,,,,,yes,1315973,1315973,164.496625,,www.mccain.com#http://www.mccain.com#,2022,,5
49,2300,,2700,,2300,estimated,2700,,1,1,y,,HP Hood LLC,no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,no,,,,,,2700,,Processed Foods,,,,,,,,,,,,hood.com#http://hood.com#,,,18
50,2517,adjusted,2700,,5601,,6318,,0.449384039,0.427350427,y,,McCormick & Company,no,11/30/2020,11/30/2021,11/30/2021,11/30/2021,no,,,,Progress Report,,,yes,,_none,yes,,,,,,6317.9,yes,Processed Foods,,37889,,,58726,58726,yes,96615,,15.29226483,,www.mccormickcorporation.com#http://www.mccormickcorporation.com#,2021,,22
51,2500,estimated,2600,estimated,2500,,12700,parent,1,0.204724409,y,table notes Revenue is for ulitmate parent Ferrero International S.A.; emissions entered for parent,Ferrero Group,yes,12/31/2020,12/31/2021,,8/31/2023,yes,"entities excluded: businesses acquired in 2019 from Kellogg's US, other companies recently acquired",,,Sustainability report,,,yes,yes,Ferrero S.p.A. (subsidiary of Ferrero International S.A.),no,,,,,,12700,,Processed Foods,,484962,344259,62543,,62543,yes,547505,,43.11062992,Ferrara USA,www.ferrarausa.com#http://www.ferrarausa.com#,2023,,69
52,2600,estimated,2600,estimated,3900,estimated,4000,estimated,0.666666667,0.65,y,Revenue is for named company; no emissions data for either entity,Rich Products Corporation,no,12/31/2020,12/31/2021,,,,,,,_no report as of 12/14/2022,no 2020 data,,yes,no,RE Rich Family Holding Corporation,no,,,,,,4000,,Processed Foods,,,,,,,,,,,,www.richs.com#http://www.richs.com#,,,12
53,2600,estimated,2550,estimated,2600,estimated,2550,estimated,1,1,y,,Trident Seafoods Corporation,no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,no,,,,,,2550,,Processed Foods,,,,,,,,,,,,www.tridentseafoods.com#http://www.tridentseafoods.com#,,,8
54,2600,estimated,2500,estimated,5000,estimated,4800,,0.52,0.520833333,y,,Wonderful Company LLC,no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,no,,,,,,4800,,Processed Foods,,,,,,,,,,,,www.wonderful.com#http://www.wonderful.com#,,,7
