ID,2020 Food Sales,2020 FS Adjust,2021 Food Sales,2021 FS Adjust,2020 Total Sales,2020 TS Adjust,2021 Total Sales,2021 TS Adjust,2020 FS divided by TS,2021 FS divided by TS,BrandLogos,Comments,Company GHG Name,Company Foreign,DateEndFinancial2020,DateEndFinancial2021,DateEnd10k,DateEndGhg,Exclusions,ExclusionsText,GhgPermaLink,GhgReportArea,GhgReportName,GhgReportNotes,GhgReportUrl,LogoDownCo,NameChangeToParent,Parent,Public,Rank,RankIndustry,RankRevenues,RealZero,RevenuesArea,RevenuesGhgCo,S&P500,SasbIndustry,SasbIndustryShort,Scope1Emit,Scope2EmitLocation,Scope2EmitMarket,Scope2EmitUndifferentiated,Scope2Total,Scope1+2Reported,Scope1+2Total,Scope1+2Undiff,Scope1+2/Revenues,Subsidiary,Website,YearGhgData,YearRevenuesData,brands
81,1500,estimated,1500,estimated,1500,estimated,1500,,1,1,y,,McKee Foods Corporation,no,8/31/2020,12/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,no,,,,,,1500,,Processed Foods,,,,,,,,,,,,www.mckeefoods.com#http://www.mckeefoods.com#,,,5
82,1334,,1467,,1334,,1467,,1,1,y,,Lancaster Colony Corporation,no,6/30/2020,6/30/2021,6/30/2022,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,yes,,,,,,1467,,Processed Foods,,,,,,,,,,,,"www.lancastercolony.com#http://	www.lancastercolony.com#",,,4
83,1250,estimated,1400,estimated,1250,,1400,estimated,1,1,y,,Borden Dairy Company,no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/21/2022,no 2020 data,,yes,,_none,no,,,,,,1400,,Processed Foods,,,,,,,,,,,,www.bordendairy.com#http://www.bordendairy.com#,,,1
84,1468,,1385,,1468,,1385,,1,1,y,,Seneca Foods Corporation,no,3/31/2021,3/31/2022,3/31/2022,,,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,yes,,,,,,1385,,Processed Foods,,,,,,,,,,,,www.senecafoods.com#http://www.senecafoods.com#,,,6
85,1300,estimated,1300,estimated,1300,estimated,1300,estimated,1,1,y,,"Reser's Fine Foods, Inc.",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,no,,,,,,1300,,Processed Foods,,,,,,,,,,,,www.resers.com#http://www.resers.com#,,,8
86,1200,,1200,,1200,,1200,,1,1,y,,Organic Valley Cropp Cooperative,no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/21/2022,no 2020 data,,yes,,_none,no,,,,,,1200,,Agricultural Products,,,,,,,,,,,,www.organicvalley.coop#http://www.organicvalley.coop#,,,1
87,1137,estimated,1200,estimated,1480,,1500,estimated,0.768243243,0.8,y,,Sargento Foods Inc.,no,6/30/2020,6/30/2021,,,,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,no,,,,,,1500,,Processed Foods,,,,,,,,,,,,www.sargento.com#http://www.sargento.com#,,,1
88,964,,1181,,964,,1181,,1,1,y,,"Utz Brands, Inc.",no,12/31/2020,12/31/2021,1/2/2022,12/31/2022,no,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,yes,,,,,,1181,,Processed Foods,,85786,22402,,,22402,yes,108188,,91.60711262,,www.utzsnacks.com#http://www.utzsnacks.com#,2022,,8
89,1022,,1145,,1022,,1145,,1,1,y,,J&J Snack Foods Corp.,no,9/30/2020,9/30/2021,9/24/2021,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,yes,,,,,,1145,,Processed Foods,,,,,,,,,,,,www.jjsnack.com#http://www.jjsnack.com#,,,18
90,1017,,1142,,1017,,1142,,1,1,y,,"Hostess Brands, Inc.",no,12/31/2020,12/31/2021,12/31/2021,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,yes,,,,,,1142,,Processed Foods,,,,,,,,,,,,www.hostessbrands.com#http://www.hostessbrands.com#,,,10
91,1072,,1138,,1072,,1138,,1,1,y,Revenue is for named company; no emissions data for either entity,National Beverage Corp.,no,5/1/2021,4/30/2022,4/30/2022,,,,,,_no report as of 12/14/2022,no 2020 data,,yes,no,"IBS Partners, Ltd.",yes,,,,,,1138,,Non-Alcoholic Beverages,,,,,,,,,,,,www.nationalbeverage.com#http://www.nationalbeverage.com#,,,8
92,1141,,1049,,2500,,2300,,0.4564,0.456086957,y,Revenue is for named company; no emissions data for either entity,"Darigold, Inc.",no,3/31/2021,3/31/2022,,,,,,,_no report as of 12/14/2022,no 2020 data,,yes,no,Northwest Dairy Association,no,,,,,,2300,,"Meat, Poultry & Dairy",,,,,,,,,,,,darigold.com#http://darigold.com#,,,1
93,986,,1012,,986,,1012,,1,1,y,,Agri-Mark Inc.,no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/21/2022,no 2020 data,,yes,,_none,no,,,,,,1012,,"Meat, Poultry & Dairy",,,,,,,,,,,,"www.agrimark.net#http://	www.agrimark.net#",,,3
94,1000,estimated,1000,estimated,2000,estimated,1000,estimated,0.5,1,y,,"Ocean Spray Cranberries, Inc.",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,no,,,,,,1000,,Agricultural Products,,,,,,,,,,,,"www.oceanspray.com#http://	www.oceanspray.com#",,,6
95,1000,estimated,1000,estimated,1000,,1000,estimated,1,1,y,,"Wells Enterprises, Inc.",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,no,,,,,,1000,,Processed Foods,,,,,,,,,,,,www.wellsenterprisesinc.com#http://www.wellsenterprisesinc.com#,,,6
96,966,estimated,902,estimated,1820,,1700,,0.530769231,0.530588235,y,,Foremost Farms USA Cooperative,no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,no,,,,,,1700,,"Meat, Poultry & Dairy",,,,,,,,,,,,www.foremostfarms.com#http://www.foremostfarms.com#,,,2
97,789,,813,,,,813,,,1,y,,SunOpta Inc.,no,12/31/2020,12/31/2021,1/1/2022,12/31/2023,no,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,yes,,,,,,813,,Processed Foods,,42810,,,19873,19873,yes,62683,,77.10086101,,www.sunopta.com#http://www.sunopta.com#,2023,,3
98,800,estimated,800,estimated,800,estimated,900,estimated,1,0.888888889,y,,"Johnsonville, LLC",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/23/2022,no 2020 data,,yes,,_none,no,,,,,,900,,"Meat, Poultry & Dairy",,,,,,,,,,,,"www.johnsonville.com#http://	www.johnsonville.com#",,,2
99,761,,766,,880,,858,,0.864772727,0.892773893,y,,"John B. Sanfilippo & Son, Inc.",no,6/25/2020,6/24/2022,6/30/2022,,,,,,_no report as of 11/23/2022,"no 2020 data (indeciferable; reported in kg; labeled ""2022"")",,yes,,_none,yes,,,,,,858,,Processed Foods,,,,,,,,,,,,www.jbssinc.com#http://www.jbssinc.com#,,,5
100,750,estimated,760,estimated,750,estimated,760,estimated,1,1,y,,"Sugar Creek Packing Co., Inc.",no,12/31/2020,12/31/2021,,,,,,,_no report as of 11/25/2022,no 2020 data,,yes,,_none,no,,,,,,760,,Processed Foods,,,,,,,,,,,,www.sugarcreek.com#http://www.sugarcreek.com#,,,2
112,,,,,,,,,,,y,,Procter & Gamble Company,no,,,6/30/2022,6/30/2022,,,,,Assurance Statement,,,yes,,,yes,,,,,,80187,yes,Household & Personal Products,,2159904,2324446,155844,,155844,yes,2315748,,28.87934453,,www.pginvestor.com#http://www.pginvestor.com#,2021,,56
113,,,,,,,,,,,y,,Clorox Company,no,,,6/30/2022,12/31/2022,no,,,,Annual report,,,yes,,,yes,,,,,,7107,,Household & Personal Products,,65205,173925,26682,,26682,yes,91887,,12.929084,,www.thecloroxcompany.com#http://www.thecloroxcompany.com#,2022,,17
114,,,,,,,,,,,y,,Amway Corporation,no,,,,,,,,,_no report as of 1/11/2023,no 2020 data,,yes,,,no,,,,,,3500,,Household & Personal Products,,,,,,,,,,,,www.amway.com#http://www.amway.com#,,,14
115,,,,,,,,,,,y,,Mary Kay Inc.,no,,,,,,,,,_no report as of 1/11/2023,no 2020 data,,yes,,,no,,,,,,2800,,Household & Personal Products,,,,,,,,,,,,www.marykay.com#http://www.marykay.com#,,,20
116,,,,,,,,,,,y,,"Diversey Holdings, Ltd.",no,,,12/31/2021,12/31/2022,no,,,,Sustainability Report,,,yes,,,yes,,,,,,2618.9,,Chemicals,,15220,,9612,,9612,yes,24832,,9.481843522,,www.diversey.com#http://www.diversey.com#,2022,,25
117,,,,,,,,,,,y,,Young Living Essential Oils LC,no,,,,,,,,,_no report as of 1/14/2023,no 2020 data,,yes,,,no,,,,,,2200,,Household & Personal Products,,,,,,,,,,,,www.youngliving.com#http://www.youngliving.com#,,,12
118,,,,,,,,,,,y,,"Revlon, Inc.",no,,,12/31/2021,,,,,,_no report as of 1/11/2023,no 2020 data,,yes,,,yes,,,,,,2078.7,,Household & Personal Products,,,,,,,,,,,,www.revlon.com#http://www.revlon.com#,,,33
119,,,,,,,,,,,y,,"Nu Skin Enterprises, Inc.",no,,,12/31/2021,12/31/2021,no,,,,Sustainability Report,,,yes,,,yes,,,,,,2695.67,,Household & Personal Products,,4639,15359,17794,,17794,yes,22433,,8.321864323,,www.nuskin.com#http://www.nuskin.com#,2021,,2
120,,,,,,,,,,,y,,"Rodan & Fields, LLC",no,,,,12/31/2022,no,,,,ESG Report,,,yes,,,no,,,,,,600,,Household & Personal Products,,122,,,214,214,yes,336,,0.56,,www.rodanandfields.com#http://www.rodanandfields.com#,2022,,11
121,,,,,,,,,,,y,,"Jeunesse Global, LLC",no,,,,,,,,,_no report as of 1/11/2023,no 2020 data,,yes,,,no,,,,,,1300,,Household & Personal Products,,,,,,,,,,,,www.jeunesseglobal.com#http://www.jeunesseglobal.com#,,,8
123,,,,,,,,,,,y,,Estée Lauder Companies Inc.,no,,,6/30/2022,6/30/2022,yes,"except emissions associated with refrigerants sources at retail, office, and certain regional distribution and innovation locations",,,SIS Report,,,yes,,,yes,,,,,,17737,,Household & Personal Products,,29500,60200,1300,,1300,yes,30800,,1.736483058,,www.elcompanies.com#http://www.elcompanies.com#,2022,,21
125,,,,,,,,,,,y,,"S. C. Johnson & Son, Inc.",no,,,,,,,,,_no report as of 1/11/2023,no 2020 data,,yes,,,no,,,,,,11000,,Household & Personal Products,,,,,,,,,,,,www.scjohnson.com#http://www.scjohnson.com#,,,53
126,,,,,,,,,,,y,,"Bath & Body Works, Inc.",no,,,1/29/2022,12/31/2022,no,,,,CDP Report,,,yes,,,yes,,,,,,7429,,Multiline and Specialty Retailers & Distributors,,18374,78400,58171,,58171,yes,76545,,10.30354018,,www.bbwinc.com#http://www.bbwinc.com#,2023,,1
127,,,,,,,,,,,y,,Johnson & Johnson,no,,,1/2/2022,12/31/2023,no,,,,Assurance Statement,,,yes,,,yes,,,,,,93775,,Biotechnology & Pharmaceuticals,,320104,467934,122776,,122776,yes,442880,,4.722793922,,www.jnj.com#http://www.jnj.com#,2023,,44
128,,,,,,,,,,,y,,Ecolab Inc.,no,,,12/31/2021,12/31/2022,no,,,,Verification Statement,,,yes,,,yes,,,,,,12733.1,,Chemicals,,299143,170546,86557,,86557,yes,385700,,30.29113099,,www.ecolab.com#http://www.ecolab.com#,2022,,1
129,,,,,,,,,,,y,,"Church & Dwight Co., Inc.",no,,,12/31/2021,12/31/2023,yes,"""select smaller scale operations excluded""",,,Sustainability Report,,,yes,,,yes,,,,,,5190.1,,Household & Personal Products,,89940,58552,9370,,9370,yes,99310,,19.13450608,,www.churchdwight.com#http://www.churchdwight.com#,2023,,34
130,,,,,,,,,,,y,,Coty Inc.,no,,,6/30/2022,6/30/2023,no,,,,ESG Index,,,yes,,,yes,,,,,,5304.4,,Household & Personal Products,,8037,20557,2316,,2316,yes,10353,,1.951775884,,www.coty.com#http://www.coty.com#,2022,,45
131,,,,,,,,,,,y,,John Paul Mitchell Systems,no,,,,,,,,,_no report as of 1/11/2023,no 2020 data,,yes,,,no,,,,,,925,,Household & Personal Products,,,,,,,,,,,,www.paulmitchell.com#http://www.paulmitchell.com#,,,8
132,,,,,,,,,,,y,,"Neora International, LLC",no,,,,,,,,,_no report as of 1/11/2023,no 2020 data,,yes,,,no,,,,,,820,,Household & Personal Products,,,,,,,,,,,,www.neora.com#http://www.neora.com#,,,8
133,,,,,,,,,,,y,,"Walgreens Boots Alliance, Inc.",no,,,8/31/2021,8/31/2022,no,,,,ESG Report,,,yes,,,yes,,,,,,132509,,Drug Retailers,,323000,1218000,1177000,,1177000,yes,1500000,,11.31998581,"Boots Retail USA, Inc. (No7 Beauty Company)",www.walgreensbootsalliance.com#http://www.walgreensbootsalliance.com#,2022,,9
134,,,,,,,,,,,y,,"Scentsy, Inc.",no,,,,,,,,,_no report as of 1/11/2023,no 2020 data,,yes,,,no,,,,,,1000,,Household & Personal Products,,,,,,,,,,,,www.scentsy.com#http://www.scentsy.com#,,,1
135,,,,,,,,,,,y,,"SeneGence International, Inc.",no,,,,,,,,,_no report as of 1/11/2023,no 2020 data,,yes,,,no,,,,,,1000,,Household & Personal Products,,,,,,,,,,,,#https://web.senegence.com/en_us/#,,,9
136,,,,,,,,,,,y,,"Zep, Inc.",no,,,,,,,,,_no report as of 1/14/2023,no 2020 data,,yes,,,no,,,,,,1000,,"Meat, Poultry & Dairy",,,,,,,,,,,,www.zep.com#http://www.zep.com#,,,6
137,800,,,,800,,,,1,,y,on 2020 list but not 2021 list,"Sovos Brands, Inc.",no,12/31/2020,12/25/2021,12/25/2021,,,,,,_no report as of 1/13/2023,no 2020 data,,yes,,_none,yes,,,,,,719.186,,Processed Foods,,,,,,,,,,,,www.sovosbrands.com#http://www.sovosbrands.com#,,,4
138,0,,0,,0,,0,,0,0,y,,7-Eleven Inc.,,,,,12/31/2022,no,,https://perma.cc/H6K4-3UFN,,Verification Statement,,https://www.7andi.com/library/en/sustainability/pdf/enviroment/en_enviroment_2022.pdf,,,,,0,0,0,,,86830,,Food Retailers & Distributors,,114083,,,2571802,2571802,yes,2685885,,30.93268456,,,2022,,7
139,0,,0,,0,,0,,0,0,y,,Ahold Delhaize USA,,,,,12/31/2023,no,,https://perma.cc/SJ7B-7866,,Annual Report 2022,,https://media.aholddelhaize.com/media/1l5iqhvt/full-annual-report-2021.pdf?t=637818238680370000,,,,,0,0,0,,,91646,,Food Retailers & Distributors,,1867000,1672000,812000,,812000,yes,2679000,,29.23204504,,,2023,,22
140,0,,0,,0,,0,,0,0,y,,Albertsons Cos.,,,,,2/25/2023,no,,https://perma.cc/7ZTV-UKM9,,ESG Report,,https://s29.q4cdn.com/239956855/files/our_impact/sustainability_doc/ALBCIV193285_CORP_ESG_Report_Update_October2022-(2).pdf,,,,,0,0,0,,,79930,,Food Retailers & Distributors,,2499308,1623637,1400857,,1400857,yes,3900165,,48.79475791,,,2023,,11
141,0,,0,,0,,0,,0,0,y,,Alimentation Couche-Tard,,,,,4/28/2024,no,,https://perma.cc/N2KD-UXDN,,Sustainability Report 2023,,https://corpo.couche-tard.com/wp-content/uploads/2022/07/ACT_Sustainability_Report_2022_Final.pdf,,,,,0,0,0,,,71857,,Food Retailers & Distributors,,173458,,,674834,674834,yes,848292,,11.80527993,,,2023,,3
142,0,,0,,0,,0,,0,0,y,,Amazon,,,,,12/31/2023,no,"perfluorocarbons (PFCs), sulphur hexafluoride (SF6), and nitrogen trifluoride (NF3), are not included because they are not material",https://perma.cc/5E8P-ULFQ,worldwide,Certificate,,https://sustainability.aboutamazon.com/2021-sustainability-report.pdf,,,,,0,0,0,,worldwide,513980,,E-commerce,,14270000,,2790000,,2790000,yes,17060000,,33.19195299,,,2023,,26
143,0,,0,,0,,0,,0,0,y,,Associated Food Stores,,,,,7/31/2021,no,,https://perma.cc/YE3X-ZFSP,,CDP Report,,https://www.abf.co.uk/content/dam/abf/corporate/Documents/Responsibility/2022-downloads/ABF-CDP-climate-change-report-2022.pdf.downloadasset.pdf,,,,,0,0,0,,,13884,,Processed Foods,,1882778,711372,777236,,777236,yes,2660014,,191.5884471,,,2021,,13
144,0,,0,,0,,0,,0,0,y,,Big Lots,,,,,12/31/2020,no,,https://perma.cc/T9GW-RASJ,,CSR Report,,https://www.biglots.com/images/marketing/2021/2020_BigLots_CSR_Report_FINAL.pdf,,,,,0,0,0,,,5468,,Food Retailers & Distributors,,36235,210408,183421,,183421,yes,219656,,40.17117776,,,2020,,4
145,0,,0,,0,,0,,0,0,y,,BJ's Wholesale Club,,,,,1/28/2023,no,,https://perma.cc/NT6Z-2AMA,,ESG Report,,https://www.bjs.com/biz/BJsESGContentEspot/BJs_ESGReport_2022.pdf,,,,,0,0,0,,,19320,,Multiline and Specialty Retailers & Distributors,,,,,,,yes,396127,396127,20.50346791,,,2022,,3
146,0,,0,,0,,0,,0,0,y,,Blue Apron,,,,,12/31/2021,no,,https://perma.cc/LM23-552K,,Blue Apron is Carbon Neutral,,https://blog.blueapron.com/carbon-neutral/,,,,,0,0,0,,,470,,E-commerce,,,,,,,yes,124000,124000,263.8297872,,,2021,,8
147,0,,0,,0,,0,,0,0,y,,Costco,,,,,,no,,https://perma.cc/W2YZ-6CQW,,Climate Action Plan,,https://mobilecontent.costco.com/live/resource/img/static-us-landing-pages/5aClimate-Action-Plan.pdf,,,,,0,0,0,,,235442,,Multiline and Specialty Retailers & Distributors,,1405640,1425977,1375183,,1375183,yes,2780823,,11.81107449,,,2022,,2
148,0,,0,,0,,0,,0,0,y,,CVS Health,,,,,12/31/2023,no,,https://perma.cc/453H-HGJB,,ESG Report Appendix,,https://www.cvshealth.com/content/dam/enterprise/cvs-enterprise/pdfs/2021/cvs-health-esg-report-appendix-2021.pdf,,,,,0,0,0,,,322500,,Drug Retailers,,269225,718430,714499,,714499,yes,983724,,3.050306977,,,2023,,14
149,0,,0,,0,,0,,0,0,y,,Dollar General,,,,,12/31/2023,no,,https://perma.cc/7GHC-7B5C,,ESG Report,,file:///Users/hopebodin/Downloads/Serving%20Others%20FY2021%20(2).pdf,,,,,0,0,0,,,34220,,Multiline and Specialty Retailers & Distributors,,712806,,1275193,,1275193,yes,1987999,,58.09465225,,,2023,,11
150,0,,0,,0,,0,,0,0,y,,Dollar Tree,,,,,1/28/2023,no,,https://perma.cc/8A8W-CFA7,,Corporate Sustainability Report,,https://www.dollartree.com/file/general/Corporate_Sustainability_Report.pdf,,,,,0,0,0,,,25510,,Multiline and Specialty Retailers & Distributors,,421840,941740,955841,,955841,yes,1377681,,54.00552724,,,2022,,2
151,0,,0,,0,,0,,0,0,y,,Dollarama,,,,,,yes,Dollarcity,https://perma.cc/BYA8-BX6B,,ESG Report,,https://www.dollarama.com/en-CA/corp/wp-content/uploads/2022/06/2022-Climate-Strategy-and-ESG-Report.pdf,,,,,0,0,0,,,5100,,Multiline and Specialty Retailers & Distributors,,59424,,,26467,26467,yes,85891,,16.84137255,,,2022,,1
152,0,,0,,0,,0,,0,0,y,,EG Group,,,,,12/31/2023,no,,https://perma.cc/59RB-5VCU,,ESG Report,,https://www.eg.group/esg-report-2021/,,,,,0,0,0,,,26510,,Food Retailers & Distributors,,44840,,,311883,311883,yes,356723,,13.45616748,,,2023,,11
153,0,,0,,0,,0,,0,0,y,,Empire Company Ltd. (Sobeys),,,,,12/31/2022,no,,https://perma.cc/SJT3-456F,,Sustainability Report,,https://sobeyssbreport.com/wp-content/uploads/2022/10/fiscal-2022-sustainable-business-report-en.pdf,,,,,0,0,0,,,22860,,Food Retailers & Distributors,,400460,,,232360,232360,yes,632820,,27.6824147,,,2022,,7
154,0,,0,,0,,0,,0,0,y,,Grupo Comercial Chedraui,,,,,12/31/2022,no,,https://perma.cc/2ZLF-JQSM,,Sustainability Report,,https://www.grupochedraui.com.mx/en/sustentabilidad/index.html,,,,,0,0,0,,,41952.196,,Multiline and Specialty Retailers & Distributors,,163300,,,70800,70800,yes,234100,,5.58016081,,,2022,,4
155,0,,0,,0,,0,,0,0,y,,HelloFresh,,,,,12/31/2022,yes,logistic hubs,https://perma.cc/9ZBF-6PUY,,Non Financial Report,,https://ir.hellofreshgroup.com/download/companies/hellofresh/Annual%20Reports/HelloFresh_Sustainability_Report_2021_Non_Financial_Report.pdf,,,,,0,0,0,,,6610,,E-commerce,,24088,44093,18096,,18096,yes,42184,,6.381845688,,,2022,,4
156,0,,0,,0,,0,,0,0,y,,Houchens Industries Inc.,,,,,12/31/2022,,,https://perma.cc/V2MX-H3C2,,ESG Report,,https://savealot.com/wp-content/uploads/2023/04/ESG_Report_2022_SAL.pdf,,,,,0,0,0,,,3500,,Multiline and Specialty Retailers & Distributors,,,,,,,,,,,,,,,6
157,0,,0,,0,,0,,0,0,y,,Kroger Co.,,,,,12/31/2022,no,,https://perma.cc/K3JX-UWFG,,ESG Report,,https://www.thekrogerco.com/wp-content/uploads/2022/08/Kroger-Co-2022-ESG-Report.pdf,,,,,0,0,0,,,42639,,Food Retailers & Distributors,,2335900,2695641,2558805,,2558805,yes,4894705,,114.7940852,,,2022,,26
158,0,,0,,0,,0,,0,0,y,,Loblaw Cos. Ltd.,,,,,12/31/2023,yes,Shoppers Drug Mart,,,ESG Report,,file:///Users/hopebodin/Downloads/2021%20ESG%20Report%20FINAL%20AODA%20-%20EN.pdf,,,,,0,0,0,,,56500,,Food Retailers & Distributors,,726052,392500,388300,,388300,yes,1114352,,19.72304425,,,2023,,30
159,0,,0,,0,,0,,0,0,y,,"Lowe's Companies, Inc.",,,,,12/31/2022,no,,,,CSR,,https://www.loweslink.com/llmain/pubdocuments/lowes2021_ghg_emissionsverificationstatement.pdf,,,,,0,0,0,,,18600,,Multiline and Specialty Retailers & Distributors,,437000,1025000,932000,,932000,yes,1369000,,73.60215054,,,2022,,2
161,0,,0,,0,,0,,0,0,y,,Metro (Canada),,,,,9/24/2023,no,,https://perma.cc/896N-SJNW,,CR Report,tco2,https://corpo.metro.ca/userfiles/file/PDF/Responsabilite_entreprise/EN/infosheet_GHG_2022.pdf,,,,,0,0,0,,,31770,,Food Retailers & Distributors,,270470,,,15605,15605,yes,286075,,9.004564054,,,2023,,4
162,0,,0,,0,,0,,0,0,y,,Rite Aid,,,,,6/30/2021,no,,https://perma.cc/NV9U-G2RU,,TCFD,,https://s27.q4cdn.com/633053956/files/doc_downloads/2021/06/TCFD-FINAL-5-27-21.pdf,,,,,0,0,0,,,5700,,Drug Retailers,,31854,248950,287768,,287768,yes,319622,,56.07403509,,,2020,,4
164,0,,0,,0,,0,,0,0,y,,Soriana,,,,,12/31/2023,no,,https://perma.cc/manage/create?folder=91707,,Sustainability Report,,https://www.organizacionsoriana.com/pdf/Infome%20Anual/2020/Soriana%20RS%202020%20eng%20web.pdf,,,,,0,0,0,,,157000,,Food Retailers & Distributors,,631395,,,306113,306113,yes,937508,,5.971388535,,,2023,,10
165,0,,0,,0,,0,,0,0,y,,Sprouts Farmers Market,,,,,12/31/2023,no,,https://perma.cc/R6SF-4QZZ,,ESG Report,,https://about.sprouts.com/sustainability/environment/climate/,,,,,0,0,0,,,6099,,Food Retailers & Distributors,,139735,,,127131,127131,yes,266866,,43.75569766,,,2023,,1
166,0,,0,,0,,0,,0,0,y,,Target,,,,,1/28/2023,no,International electricity consumption excluded but is less than 1%,https://perma.cc/PNH9-HJRW,,Sustainability Report,,https://corporate.target.com/_media/TargetCorp/Sustainability-ESG/PDF/2022_Target_ESG_Report.pdf,,,,,0,0,0,,,109120,,Multiline and Specialty Retailers & Distributors,,779858,1505539,891321,,891321,yes,1671179,,15.31505682,,,2022,,58
167,0,,0,,0,,0,,0,0,y,,United Natural Foods Inc.,,,,,7/29/2022,no,,https://perma.cc/4WJN-2KAS,,ESG Report,,https://s22.q4cdn.com/589001886/files/doc_financials/2022/sr/ESG-Report-2022-v2.pdf,,,,,0,0,0,,,27000,,Food Retailers & Distributors,,368909,211837,194679,,194679,yes,563588,,20.87362963,,,2022,,16
169,0,,0,,0,,0,,0,0,y,,Walmart,,,,,1/31/2023,no,,https://perma.cc/RC4U-GFME,worldwide,Assurance Statement,,https://corporate.walmart.com/esgreport/media-library/document/2022-third-party-assurance-letter/_proxyDocument?id=00000182-cb2a-d25a-adf7-cbff5dbb0000,,,,,0,0,0,,worldwide,611300,,Multiline and Specialty Retailers & Distributors,,7880866,6740036,,,6740036,yes,14620902,,23.91771961,,,2022,,12
170,0,,0,,0,,0,,0,0,y,,Weis Markets,,,,,12/31/2021,no,,https://perma.cc/JRB2-95HS,,Sustainability Report,,https://www.weismarkets.com/sites/default/files/weismarkets-sustainabilityreport-2021-accessible.pdf?61,,,,,0,0,0,,,3543,,Food Retailers & Distributors,,252889,131294,60340,,60340,yes,313229,,88.40784646,,,2021,,4
172,0,,0,,0,,0,,0,0,y,,99 Ranch,,,,,,,,,,_no report as of 7/7/2023,,,,,,,0,0,0,,,131.5,,Food Retailers & Distributors,,,,,,,,,,,,,,,1
173,0,,0,,0,,0,,0,0,y,,Aldi U.S.,,,,,,,,,,_no report as of 7/7/2023,,,,,,,0,0,0,,,121100,,Food Retailers & Distributors,,,,,,,,,,,,,,,14
175,0,,0,,0,,0,,0,0,y,,ARKO Corp.,,,,,12/31/2022,,,,,2022 Sustainability Report,,,,,,,0,0,0,,,1840,,Food Retailers & Distributors,,114162,,,91870,91870,yes,206032,,111.973913,,,2023,,2
176,0,,0,,0,,0,,0,0,y,,Associated Wholesale Grocers,,,,,,,,,,_no report as of 7/8/2023,,,,,,,0,0,0,,,12400,,Food Retailers & Distributors,,,,,,,,,,,,,,,5
177,0,,0,,0,,0,,0,0,y,,Big Y Foods Inc.,,,,,,,,,,_no report as of 7/8/2023,,,,,,,0,0,0,,,2400,,Food Retailers & Distributors,,,,,,,,,,,,,,,2
178,0,,0,,0,,0,,0,0,y,,Bozzuto's Inc,,,,,,,,,,_no report as of 7/8/2023,,,,,,,0,0,0,,,3100,,Processed Foods,,,,,,,,,,,,,,,3
179,0,,0,,0,,0,,0,0,y,,Brookshire Brothers,,,,,,,,,,_no report as of 7/8/2023,,,,,,,0,0,0,,,2000,,Food Retailers & Distributors,,,,,,,,,,,,,,,8
180,0,,0,,0,,0,,0,0,y,,Brookshire Grocery Co.,,,,,,,,,,_no report as of 7/8/2023,,,,,,,0,0,0,,,2700,,Food Retailers & Distributors,,,,,,,,,,,,,,,4
181,0,,0,,0,,0,,0,0,y,,C&S Wholesale Grocers,,,,,,,,,,_no report as of 7/8/2023,,,,,,,0,0,0,,,30000,,Food Retailers & Distributors,,,,,,,,,,,,,,,3
182,0,,0,,0,,0,,0,0,y,,Casey's Retail Company,,,,,12/31/2022,,,,,Sustainability Report,,,,,,,0,0,0,,,3330,,Food Retailers & Distributors,,92466,506862,518623,,518623,yes,611089,,183.5102102,,,2022,,1
183,0,,0,,0,,0,,0,0,y,,Coborn's Inc.,,,,,,,,,,_no report as of 7/8/2023,,,,,,,0,0,0,,,1400,,Food Retailers & Distributors,,,,,,,,,,,,,,,11
184,0,,0,,0,,0,,0,0,y,,Defense Commissary Agency (DeCA),,,,,,,,,,_no report as of 7/8/2023,,,,,,,0,0,0,,,4400,,Food Retailers & Distributors,,,,,,,,,,,,,,,2
185,0,,0,,0,,0,,0,0,y,,Demoulas Super Markets Inc.,,,,,,,,,,_no report as of 7/8/2023,,,,,,,0,0,0,,,5900,,Food Retailers & Distributors,,,,,,,,,,,,,,,2
186,0,,0,,0,,0,,0,0,y,,Fareway Stores Inc.,,,,,,,,,,_no report as of 7/8/2023,,,,,,,0,0,0,,,1500,,Food Retailers & Distributors,,,,,,,,,,,,,,,2
